Year,Quarter,지역,지역별 분기별 평균 강수량 (mm)
2015,4,고산(제주),2.6
2015,4,고창,2.86
2015,4,고창군,3.06
2015,4,고흥,1.7
2015,4,광양시,1.9
2015,4,광주,2.96
2015,4,구미,1.91
2015,4,군산,3.18
2015,4,금산,2.6
2015,4,김해시,1.61
2015,4,남원,2.71
2015,4,남해,2.82
2015,4,대관령,2.67
2015,4,대구,1.55
2015,4,대전,2.82
2015,4,동두천,2.44
2015,4,동해,3.1
2015,4,목포,2.82
2015,4,문경,2.52
2015,4,밀양,1.73
2015,4,백령도,1.36
2015,4,보령,3.38
2015,4,보성군,2.4
2015,4,보은,2.58
2015,4,봉화,1.52
2015,4,부산,2.58
2015,4,부안,3.26
2015,4,부여,3.16
2015,4,북강릉,4.62
2015,4,북창원,1.94
2015,4,산청,2.31
2015,4,상주,2.52
2015,4,서귀포,4.11
2015,4,서산,3.19
2015,4,서울,2.34
2015,4,성산,5.0
2015,4,속초,5.35
2015,4,수원,2.53
2015,4,순창군,3.34
2015,4,순천,2.88
2015,4,안동,1.72
2015,4,양산시,1.97
2015,4,양평,2.31
2015,4,여수,1.65
2015,4,영광군,3.09
2015,4,영덕,2.86
2015,4,영월,1.83
2015,4,영주,2.07
2015,4,영천,1.67
2015,4,완도,2.84
2015,4,울릉도,6.25
2015,4,울산,2.08
2015,4,울진,3.01
2015,4,원주,2.14
2015,4,의령군,2.06
2015,4,의성,1.55
2015,4,이천,2.65
2015,4,인제,2.0
2015,4,인천,2.46
2015,4,임실,3.12
2015,4,장수,3.86
2015,4,장흥,2.33
2015,4,전주,2.82
2015,4,정선군,2.23
2015,4,정읍,3.35
2015,4,제주,3.2
2015,4,제천,2.24
2015,4,진도군,2.46
2015,4,진주,2.49
2015,4,창원,1.81
2015,4,천안,2.6
2015,4,철원,2.19
2015,4,청송군,1.72
2015,4,청주,2.58
2015,4,추풍령,2.68
2015,4,춘천,2.45
2015,4,충주,2.04
2015,4,태백,2.45
2015,4,통영,2.42
2015,4,파주,2.25
2015,4,포항,2.2
2015,4,함양군,2.7
2015,4,합천,1.99
2015,4,해남,2.1
2015,4,홍성,3.83
2015,4,홍천,1.89
2015,4,흑산도,3.37
2016,1,강릉,1.16
2016,1,강진군,2.25
2016,1,강화,1.01
2016,1,거제,3.44
2016,1,거창,1.32
2016,1,경주시,1.28
2016,1,고산,1.89
2016,1,고산(제주),2.59
2016,1,고창,1.14
2016,1,고창군,1.15
2016,1,고흥,2.17
2016,1,광양시,2.35
2016,1,광주,1.65
2016,1,구미,1.0
2016,1,군산,1.24
2016,1,금산,1.23
2016,1,김해시,2.07
2016,1,남원,1.66
2016,1,남해,3.3
2016,1,대관령,0.66
2016,1,대구,1.17
2016,1,대전,1.07
2016,1,동두천,1.13
2016,1,동해,1.05
2016,1,목포,1.92
2016,1,문경,1.01
2016,1,밀양,1.76
2016,1,백령도,1.18
2016,1,보령,0.89
2016,1,보성군,2.56
2016,1,보은,1.04
2016,1,봉화,1.0
2016,1,부산,2.82
2016,1,부안,1.58
2016,1,부여,0.94
2016,1,북강릉,1.1
2016,1,북창원,1.9
2016,1,산청,1.68
2016,1,상주,1.15
2016,1,서귀포,3.92
2016,1,서산,1.19
2016,1,서울,0.98
2016,1,성산,5.25
2016,1,속초,0.84
2016,1,수원,1.23
2016,1,순창군,1.79
2016,1,순천,2.81
2016,1,안동,0.94
2016,1,양산시,2.44
2016,1,양평,0.55
2016,1,여수,2.23
2016,1,영광군,1.79
2016,1,영덕,0.63
2016,1,영월,0.87
