지역,Year,Quarter,PM2.5(μg/m³),PM10(μg/m³),아황산가스(ppm),오존(ppm),이산화질소(ppm),일산화질소(ppm)
부산,2019,1,29.0,49.0,0.005,0.0303,0.022,0.4
부산,2019,2,22.0,39.7,0.0043,0.041,0.0187,0.4
부산,2019,3,16.7,26.7,0.0037,0.0287,0.0147,0.3333
부산,2019,4,17.7,32.3,0.0037,0.0233,0.022,0.4
부산,2020,1,19.7,33.0,0.0033,0.028,0.019,0.4
부산,2020,2,16.3,31.7,0.003,0.0417,0.0143,0.4
부산,2020,3,14.0,24.3,0.0027,0.0297,0.0123,0.3333
부산,2020,4,17.7,31.3,0.0033,0.026,0.019,0.4
부산,2021,1,20.3,44.3,0.0033,0.0307,0.018,0.4
부산,2021,2,15.3,33.0,0.003,0.0417,0.0143,0.3
부산,2021,3,9.0,18.0,0.003,0.0327,0.0103,0.2667
부산,2021,4,16.3,29.3,0.003,0.0263,0.019,0.3667
부산,2022,1,20.3,33.0,0.0033,0.032,0.0183,0.4
부산,2022,2,14.3,27.3,0.0027,0.0417,0.0137,0.3
부산,2022,3,10.7,19.7,0.003,0.0317,0.011,0.3
부산,2022,4,16.0,28.0,0.003,0.027,0.0163,0.3
부산,2023,1,22.0,42.3,0.0031,0.0301,0.0177,0.36
부산,2023,2,16.7,38.7,0.0028,0.0425,0.0123,0.3067
부산,2023,3,10.3,17.3,0.0027,0.029,0.0105,0.2833
부산,2023,4,16.0,26.7,0.0027,0.029,0.0163,0.3467
부산,2024,1,17.7,29.0,0.0027,0.0324,0.0152,0.3533
부산,2024,2,17.0,35.7,0.0028,0.0421,0.0145,0.3267
서울,2012,1,,52.0,0.007,0.017,0.0343,0.6667
서울,2012,2,,47.7,0.0053,0.032,0.031,0.4667
서울,2012,3,,25.7,0.0037,0.022,0.0223,0.4
서울,2012,4,,38.7,0.005,0.0133,0.0337,0.6
서울,2013,1,,54.7,0.0067,0.0177,0.04,0.6667
서울,2013,2,,49.0,0.0057,0.0327,0.033,0.4667
서울,2013,3,,32.3,0.004,0.0247,0.024,0.4
서울,2013,4,,42.0,0.0053,0.0127,0.0363,0.6
서울,2014,1,,58.0,0.0067,0.0167,0.0393,0.6
서울,2014,2,,53.0,0.0057,0.0353,0.0327,0.4667
서울,2014,3,,32.0,0.0043,0.027,0.0257,0.4
서울,2014,4,,40.7,0.0057,0.0137,0.036,0.5667
서울,2015,1,28.3,68.0,0.007,0.0163,0.0377,0.6667
서울,2015,2,21.0,41.7,0.0053,0.033,0.03,0.4333
서울,2015,3,19.0,30.7,0.0047,0.027,0.0237,0.4
서울,2015,4,24.3,41.7,0.0053,0.0133,0.036,0.6
서울,2016,1,27.3,53.0,0.006,0.019,0.0357,0.6
서울,2016,2,29.0,57.7,0.005,0.0357,0.0317,0.4667
서울,2016,3,22.0,34.7,0.004,0.0273,0.0243,0.4333
서울,2016,4,26.0,46.0,0.0047,0.0137,0.0333,0.6
서울,2017,1,33.0,53.0,0.005,0.0303,0.036,0.6333
서울,2017,2,24.0,53.3,0.0047,0.0383,0.0277,0.4333
서울,2017,3,18.0,28.7,0.004,0.027,0.0237,0.4333
서울,2017,4,23.0,40.3,0.0047,0.015,0.0313,0.6
서울,2018,1,32.0,52.3,0.0053,0.0193,0.034,0.6
서울,2018,2,24.3,43.7,0.004,0.0333,0.0267,0.4333
서울,2018,3,13.3,22.0,0.0037,0.027,0.0183,0.4
서울,2018,4,22.3,41.0,0.0047,0.0137,0.034,0.6
서울,2019,1,39.3,64.0,0.005,0.0193,0.0363,0.7
서울,2019,2,23.3,40.7,0.0043,0.037,0.0257,0.4667
서울,2019,3,15.7,24.0,0.0037,0.0283,0.019,0.4
서울,2019,4,21.0,37.7,0.0037,0.015,0.0313,0.6
서울,2020,1,27.3,42.7,0.0033,0.0197,0.031,0.6
서울,2020,2,20.3,38.3,0.003,0.038,0.02,0.4
서울,2020,3,12.7,21.0,0.0027,0.026,0.0153,0.3667
서울,2020,4,22.7,39.0,0.0033,0.017,0.029,0.5667
서울,2021,1,27.3,51.0,0.0033,0.0207,0.031,0.5667
서울,2021,2,19.3,45.3,0.003,0.038,0.0197,0.4
서울,2021,3,11.7,20.3,0.003,0.0343,0.015,0.3667
서울,2021,4,20.7,37.0,0.003,0.018,0.028,0.5333
서울,2022,1,25.3,41.3,0.0033,0.0233,0.028,0.5333
서울,2022,2,17.0,33.3,0.0027,0.0427,0.016,0.3667
서울,2022,3,12.7,22.3,0.003,0.0327,0.0143,0.3333
서울,2022,4,18.3,34.0,0.003,0.0187,0.0253,0.4667
서울,2023,1,29.0,54.0,0.0031,0.0237,0.0285,0.5567
서울,2023,2,18.7,43.0,0.0028,0.0428,0.0164,0.3933
서울,2023,3,13.7,22.3,0.0027,0.0348,0.0132,0.36
서울,2023,4,17.7,31.3,0.0027,0.0223,0.0237,0.49
서울,2024,1,22.7,39.3,0.0027,0.026,0.0245,0.5
서울,2024,2,18.3,37.0,0.0028,0.0472,0.0175,0.3767
수원,2012,1,,56.0,0.007,0.0163,0.0403,0.7667
수원,2012,2,,52.0,0.0053,0.0343,0.0327,0.5667
수원,2012,3,,30.0,0.0033,0.0233,0.0253,0.5
수원,2012,4,,45.3,0.006,0.0127,0.0403,0.7
수원,2013,1,,61.0,0.0073,0.0157,0.0423,0.7667
수원,2013,2,,55.7,0.0057,0.0347,0.0337,0.6
수원,2013,3,,37.0,0.004,0.0253,0.024,0.5
수원,2013,4,,47.7,0.006,0.0123,0.039,0.7
수원,2014,1,,63.3,0.0073,0.015,0.042,0.8
수원,2014,2,,58.3,0.0057,0.0357,0.031,0.6
수원,2014,3,,34.7,0.0043,0.028,0.026,0.6
수원,2014,4,,43.7,0.0053,0.0127,0.0403,0.7333
수원,2015,1,32.0,67.3,0.007,0.016,0.0403,0.7667
수원,2015,2,23.0,43.0,0.0053,0.035,0.0303,0.5333
수원,2015,3,19.3,37.0,0.004,0.0297,0.025,0.5
수원,2015,4,,50.3,0.0047,0.012,0.04,0.7
수원,2016,1,,56.7,0.0053,0.0167,0.0367,0.7
수원,2016,2,26.0,61.3,0.004,0.0367,0.0297,0.6
수원,2016,3,22.7,38.7,0.0037,0.0277,0.0257,0.5333
수원,2016,4,26.3,53.3,0.0037,0.0117,0.0377,0.7
수원,2017,1,33.7,61.0,0.0053,0.033,0.0403,0.7333
수원,2017,2,27.0,58.3,0.004,0.035,0.0273,0.5333
수원,2017,3,19.3,30.0,0.003,0.024,0.026,0.5
수원,2017,4,23.0,39.7,0.0033,0.014,0.0347,0.6
수원,2018,1,31.0,50.3,0.004,0.0183,0.0357,0.7
수원,2018,2,23.7,45.3,0.0033,0.035,0.0253,0.5
수원,2018,3,14.3,24.7,0.003,0.028,0.0183,0.4667
수원,2018,4,25.7,43.7,0.0033,0.0123,0.0397,0.6667
수원,2019,1,40.3,64.3,0.004,0.0167,0.0393,0.7333
수원,2019,2,22.3,41.3,0.0033,0.041,0.025,0.5333
수원,2019,3,16.3,28.0,0.003,0.031,0.018,0.5
수원,2019,4,22.0,39.0,0.0027,0.013,0.033,0.6333
수원,2020,1,27.7,44.3,0.003,0.017,0.0323,0.6333
수원,2020,2,19.3,40.7,0.0027,0.0413,0.0187,0.5
수원,2020,3,12.7,25.0,0.002,0.0287,0.0147,0.4667
수원,2020,4,22.7,42.7,0.003,0.0167,0.033,0.5667
수원,2021,1,28.0,56.0,0.003,0.021,0.032,0.6
수원,2021,2,18.3,52.0,0.0023,0.0413,0.02,0.4333
수원,2021,3,11.3,23.7,0.002,0.0353,0.0147,0.4667
수원,2021,4,19.3,39.3,0.0027,0.0177,0.0303,0.5667
수원,2022,1,25.3,43.0,0.0023,0.0223,0.0317,0.5333
수원,2022,2,15.7,36.0,0.002,0.0437,0.0153,0.4
수원,2022,3,12.3,25.3,0.002,0.032,0.0137,0.4
수원,2022,4,16.3,36.7,0.002,0.017,0.0287,0.4667
수원,2023,1,29.0,56.7,0.0022,0.0225,0.0281,0.5433
수원,2023,2,19.0,47.7,0.0018,0.043,0.0148,0.41
수원,2023,3,13.7,25.0,0.0018,0.0339,0.0122,0.4933
수원,2023,4,18.3,33.3,0.0022,0.0215,0.024,0.4833
수원,2024,1,23.7,40.3,0.0018,0.0251,0.0225,0.4733
수원,2024,2,18.7,40.3,0.0019,0.0441,0.0158,0.3967
울산,2012,1,,48.0,0.0063,0.0237,0.0237,0.6333
울산,2012,2,,53.0,0.009,0.035,0.0237,0.5333
울산,2012,3,,40.3,0.008,0.0263,0.0187,0.4333
울산,2012,4,,41.0,0.0063,0.021,0.0257,0.5333
울산,2013,1,,54.7,0.0077,0.0263,0.0273,0.6333
울산,2013,2,,51.3,0.0103,0.0353,0.0247,0.4667
울산,2013,3,,41.7,0.0097,0.029,0.0193,0.4333
울산,2013,4,,40.7,0.006,0.0217,0.0233,0.5
울산,2014,1,,49.7,0.0073,0.0253,0.0257,0.5667
울산,2014,2,,57.0,0.0097,0.0377,0.025,0.4667
울산,2014,3,,37.3,0.0073,0.0277,0.0183,0.4333
울산,2014,4,,41.0,0.006,0.0203,0.0237,0.5
울산,2015,1,29.3,56.3,0.0067,0.024,0.025,0.6
울산,2015,2,28.7,52.0,0.01,0.0363,0.025,0.5
울산,2015,3,19.7,38.0,0.008,0.03,0.017,0.4667
울산,2015,4,21.0,35.0,0.0053,0.0203,0.023,0.5333
울산,2016,1,24.3,45.0,0.006,0.0247,0.025,0.5333
울산,2016,2,27.0,53.0,0.0087,0.0367,0.0233,0.5
울산,2016,3,18.3,33.0,0.007,0.0283,0.0173,0.4
울산,2016,4,23.0,41.7,0.0047,0.02,0.0237,0.5333
울산,2017,1,27.3,44.0,0.0047,0.0257,0.024,0.6
