연도_분기,지역,최고기온 (C),최저기온 (C),일 평균기온 (C),일 평균 풍속 (m/s),일강수량 (mm),최심 신적설 (cm),일 평균 상대습도 (%),일교차 (C)
2012-3분기,양산시,29.6,22.0,25.4,2.7,10.8,0.0,70.2,7.6
2012-3분기,양평,28.8,19.9,23.8,1.4,10.7,0.0,79.2,8.9
2012-3분기,여수,27.7,22.5,24.7,4.1,12.6,0.0,87.8,5.2
2012-3분기,영광군,28.9,21.1,24.6,2.3,12.7,0.0,82.7,7.8
2012-3분기,영덕,28.5,20.1,23.7,2.5,7.2,0.0,78.8,8.4
2012-3분기,영월,28.8,18.9,23.1,1.3,9.6,0.0,78.9,9.9
2012-3분기,영주,28.3,18.9,23.1,1.7,9.9,0.0,75.7,9.4
2012-3분기,영천,29.4,19.9,24.1,1.6,9.5,0.0,74.0,9.5
2012-3분기,완도,29.1,21.9,25.0,3.2,8.7,0.0,78.8,7.2
2012-3분기,울릉도,25.4,20.7,22.7,3.5,6.8,0.0,85.1,4.8
2012-3분기,울산,29.1,21.3,24.7,2.3,9.1,0.0,74.3,7.8
2012-3분기,울진,25.9,19.0,22.2,2.3,7.6,0.0,85.2,6.9
2012-3분기,원주,28.9,19.9,23.9,1.5,10.3,0.0,72.7,8.9
2012-3분기,의령군,29.1,19.7,23.8,1.2,9.5,0.0,85.1,9.5
2012-3분기,의성,30.0,19.4,24.1,1.1,7.0,0.0,76.9,10.6
2012-3분기,이천,29.1,19.4,23.6,1.2,11.4,0.0,75.4,9.7
2012-3분기,인제,27.6,18.6,22.3,2.0,6.7,0.0,78.2,9.0
2012-3분기,인천,27.3,21.4,24.1,2.6,10.3,0.0,85.0,5.9
2012-3분기,임실,27.8,18.7,22.7,1.4,11.1,0.0,76.3,9.1
2012-3분기,장수,27.1,17.9,22.0,1.8,14.4,0.0,81.4,9.2
2012-3분기,장흥,28.6,21.0,24.5,2.1,11.6,0.0,83.3,7.6
2012-3분기,전주,30.1,21.3,25.2,1.9,9.9,0.0,75.2,8.9
2012-3분기,정선군,27.4,18.2,21.9,1.4,8.0,0.0,77.8,9.3
2012-3분기,정읍,29.8,21.3,25.1,1.4,11.1,0.0,75.4,8.5
2012-3분기,제주,28.2,23.3,25.5,2.7,14.2,0.0,83.2,5.0
2012-3분기,제천,27.6,18.1,22.2,1.3,8.8,0.0,78.8,9.5
2012-3분기,진주,29.1,20.3,24.2,1.3,12.3,0.0,79.9,8.8
